source,rank,name,team_school,class,position,height_listed,height_in,weight_lbs,norm_name,cbs_mpg,cbs_ppg,cbs_rpg,cbs_apg,cbs_fg_pct
CBS prospect rankings,1,AJ Dybantsa,BYU,Fr,SF,6-9,81.0,217.0,aj dybantsa,34.8,25.5,6.8,3.7,51.0
CBS prospect rankings,2,Darryn Peterson,Kansas,Fr,PG,6-5,77.0,200.0,darryn peterson,29.0,20.2,4.2,1.6,43.8
CBS prospect rankings,3,Cameron Boozer,Duke,Fr,PF,6-8,80.0,250.0,cameron boozer,33.5,22.5,10.2,4.1,55.6
CBS prospect rankings,4,Caleb Wilson,N. Carolina,Fr,PF,6-9,81.0,210.0,caleb wilson,31.2,19.8,9.4,2.7,57.8
CBS prospect rankings,5,Keaton Wagler,Illinois,Fr,PG,6-5,77.0,188.0,keaton wagler,33.9,17.9,5.1,4.2,44.5
CBS prospect rankings,6,Darius Acuff Jr.,Arkansas,Fr,PG,6-2,74.0,185.0,darius acuff,35.2,23.5,3.1,6.4,48.4
CBS prospect rankings,7,Kingston Flemings,Houston,Fr,PG,6-3,75.0,183.0,kingston flemings,31.7,16.1,4.1,5.2,47.6
CBS prospect rankings,8,Mikel Brown Jr.,Louisville,Fr,PG,6-4,76.0,190.0,mikel brown,29.0,18.2,3.3,4.7,41.0
CBS prospect rankings,9,Brayden Burries,Arizona,Fr,SG,6-4,76.0,215.0,brayden burries,29.9,16.1,4.9,2.4,49.1
CBS prospect rankings,10,Nate Ament,Tennessee,Fr,PF,6-10,82.0,211.0,nate ament,29.7,16.7,6.3,2.3,39.9
CBS prospect rankings,11,Aday Mara,Michigan,Jr,C,7-3,87.0,260.0,aday mara,23.5,12.1,6.8,2.4,66.8
CBS prospect rankings,12,Yaxel Lendeborg,Michigan,Sr,PF,6-9,81.0,241.0,yaxel lendeborg,30.2,15.1,6.8,3.2,51.5
CBS prospect rankings,14,Labaron Philon,Alabama,Fr,PG,6-3,75.0,175.0,labaron philon,30.9,22.0,3.5,5.0,50.1
CBS prospect rankings,16,Hannes Steinbach,Washington,Fr,PF,6-10,82.0,248.0,hannes steinbach,34.6,18.5,11.8,1.6,57.7
CBS prospect rankings,18,Koa Peat,Arizona,Fr,PF,6-7,79.0,245.0,koa peat,27.8,14.1,5.6,2.6,52.8
CBS prospect rankings,19,Bennett Stirtz,Iowa,Sr,PG,6-3,75.0,190.0,bennett stirtz,37.8,19.8,2.6,4.4,47.7
CBS prospect rankings,22,Chris Cenac Jr.,Houston,Fr,PF,6-10,82.0,240.0,chris cenac,24.8,9.5,7.9,0.7,48.5
CBS prospect rankings,23,Henri Veesaar,N. Carolina,Jr,C,6-11,83.0,227.0,henri veesaar,31.3,17.0,8.7,2.1,60.8
CBS prospect rankings,24,Ebuka Okorie,Stanford,Fr,PG,6-1,73.0,185.0,ebuka okorie,35.0,23.2,3.6,3.6,46.5
CBS prospect rankings,25,Dailyn Swain,Texas,Jr,SF,6-7,79.0,211.0,dailyn swain,32.7,17.3,7.5,3.6,54.2
CBS prospect rankings,27,Tarris Reed Jr.,UConn,Sr,C,6-10,82.0,265.0,tarris reed,27.3,14.7,9.0,2.3,60.7
CBS prospect rankings,28,Allen Graves,Santa Clara,Fr,PF,6-8,80.0,225.0,allen graves,22.6,11.8,6.5,1.8,51.2
CBS prospect rankings,29,Zuby Ejiofor,St. John's,Sr,C,6-8,80.0,245.0,zuby ejiofor,29.9,16.3,7.3,3.5,53.6
CBS prospect rankings,30,Joshua Jefferson,Iowa St.,Sr,PF,6-8,80.0,246.0,joshua jefferson,30.8,16.4,7.4,4.8,47.1
CBS prospect rankings,31,Alex Karaban,UConn,Sr,PF,6-7,79.0,225.0,alex karaban,34.4,13.2,5.3,2.4,46.4
CBS prospect rankings,32,Meleek Thomas,Arkansas,Fr,SG,6-3,75.0,190.0,meleek thomas,30.5,15.6,3.8,2.5,43.3
CBS prospect rankings,34,Braden Smith,Purdue,Sr,PG,5-11,71.0,167.0,braden smith,34.5,14.3,3.5,8.8,44.0
CBS prospect rankings,35,Richie Saunders,BYU,Sr,SG,6-5,77.0,205.0,richie saunders,31.4,18.0,5.8,2.1,48.9
CBS prospect rankings,36,Ryan Conwell,Louisville,Sr,SG,6-2,74.0,215.0,ryan conwell,31.0,18.8,4.8,2.7,40.8
CBS prospect rankings,37,Baba Miller,Cincinnati,Sr,PF,6-11,83.0,208.0,baba miller,31.9,13.0,10.3,3.7,52.9
CBS prospect rankings,38,Trevon Brazile,Arkansas,Sr,PF,6-10,82.0,230.0,trevon brazile,31.5,13.1,7.3,1.5,52.6
CBS prospect rankings,40,Otega Oweh,Kentucky,Sr,SG,6-4,76.0,216.0,otega oweh,32.7,18.6,4.8,2.7,46.5
CBS prospect rankings,41,Jaden Bradley,Arizona,Sr,PG,6-3,75.0,205.0,jaden bradley,30.5,13.3,3.4,4.4,46.3
CBS prospect rankings,42,Emanuel Sharp,Houston,Sr,SG,6-3,75.0,205.0,emanuel sharp,29.4,15.5,3.0,1.7,41.3
CBS prospect rankings,43,Tyler Bilodeau,UCLA,Sr,PF,6-7,79.0,228.0,tyler bilodeau,30.2,17.6,5.6,1.1,51.8
CBS prospect rankings,44,Bruce Thornton,Ohio St.,Sr,PG,6-0,72.0,223.0,bruce thornton,36.5,19.9,5.1,3.9,55.4
CBS prospect rankings,45,Ja'Kobi Gillespie,Tennessee,Sr,PG,6-0,72.0,182.0,ja kobi gillespie,34.6,18.4,2.8,5.4,41.0
CBS prospect rankings,46,Ugonna Onyenso,Virginia,Sr,C,6-11,83.0,237.0,ugonna onyenso,18.6,6.5,4.9,0.6,56.8
CBS prospect rankings,47,Kylan Boswell,Illinois,Sr,PG,6-1,73.0,226.0,kylan boswell,30.0,12.3,4.0,3.0,44.4
CBS prospect rankings,48,Milos Uzan,Houston,Jr,PG,6-3,75.0,186.0,milos uzan,33.0,11.1,2.7,4.0,38.0
CBS prospect rankings,49,Dillon Mitchell,St. John's,Sr,PF,6-7,79.0,202.0,dillon mitchell,28.2,8.3,7.0,3.0,55.9
CBS prospect rankings,50,Tyler Nickel,Vanderbilt,Sr,SF,6-6,78.0,217.0,tyler nickel,30.5,13.5,3.3,1.2,44.5
CBS prospect rankings,51,Maliq Brown,Duke,Sr,C,6-8,80.0,217.0,maliq brown,20.3,4.9,5.2,1.6,62.9
CBS prospect rankings,52,Tobi Lawal,Va. Tech,Sr,PF,6-7,79.0,215.0,tobi lawal,29.1,12.3,8.5,0.6,54.2
CBS prospect rankings,53,Aaron Nkrumah,Tenn. State,Sr,SG,6-5,77.0,189.0,aaron nkrumah,31.3,17.7,5.5,3.0,43.8
CBS prospect rankings,54,Felix Okpara,Tennessee,Sr,C,6-10,82.0,237.0,felix okpara,26.9,8.0,6.3,0.5,59.7
CBS prospect rankings,55,Keyshawn Hall,Auburn,Sr,SF,6-6,78.0,227.0,keyshawn hall,33.6,19.3,7.0,2.6,45.1
CBS prospect rankings,56,Nate Bittle,Oregon,Sr,C,7-0,84.0,250.0,nate bittle,31.1,16.8,6.9,2.6,46.5
CBS prospect rankings,57,Izaiyah Nelson,South Florida,Sr,C,6-8,80.0,218.0,izaiyah nelson,27.2,15.9,9.6,1.2,56.1
CBS prospect rankings,58,Rafael Castro,George Wash.,Sr,C,6-9,81.0,224.0,rafael castro,27.2,15.3,9.1,1.7,62.7
CBS prospect rankings,59,Nick Boyd,Wisconsin,Sr,PG,6-1,73.0,177.0,nick boyd,31.9,20.7,3.8,4.3,48.0
CBS prospect rankings,60,Bryce Hopkins,St. John's,Sr,SF,6-6,78.0,219.0,bryce hopkins,28.8,13.6,6.2,1.9,46.9
CBS prospect rankings,61,Quadir Copeland,NC State,Sr,PG,6-6,78.0,220.0,quadir copeland,28.7,13.9,3.6,6.5,49.4
CBS prospect rankings,62,Tamin Lipsey,Iowa St.,Sr,PG,6-1,73.0,200.0,tamin lipsey,31.4,13.5,3.9,5.1,45.9
CBS prospect rankings,63,Malik Reneau,Miami,Sr,PF,6-9,81.0,238.0,malik reneau,29.0,18.9,6.5,2.1,54.0
CBS prospect rankings,64,Jaron Pierre Jr.,SMU,Sr,SG,6-5,77.0,210.0,jaron pierre,33.0,17.6,4.9,2.1,46.2
CBS prospect rankings,65,Tucker DeVries,Indiana,Sr,SF,6-7,79.0,225.0,tucker devries,34.3,13.7,5.3,3.3,39.7
CBS prospect rankings,66,Peter Suder,Miami (Ohio),Sr,SG,6-4,76.0,213.0,peter suder,31.0,14.8,4.6,4.0,54.6
CBS prospect rankings,67,Cade Tyson,Minnesota,Sr,SF,6-7,79.0,195.0,cade tyson,36.7,19.6,5.4,2.1,50.0
CBS prospect rankings,69,Jaden Henley,Grand Canyon,Sr,SF,6-7,79.0,210.0,jaden henley,31.5,17.7,5.7,2.9,46.6
CBS prospect rankings,70,Nick Martinelli,Northwestern,Sr,PF,6-7,79.0,225.0,nick martinelli,35.5,23.0,6.2,2.0,51.0
CBS prospect rankings,72,Lamar Wilkerson,Indiana,Sr,SG,6-6,78.0,205.0,lamar wilkerson,33.9,20.9,3.5,2.4,46.3
CBS prospect rankings,73,Darrion Williams,NC State,Jr,SF,6-5,77.0,236.0,darrion williams,30.0,14.0,4.6,2.8,41.4
CBS prospect rankings,74,Trey Kaufman-Renn,Purdue,Sr,C,6-8,80.0,241.0,trey kaufman renn,28.0,14.2,8.3,2.5,57.8
CBS prospect rankings,75,Tobe Awaka,Arizona,Sr,PF,6-8,80.0,261.0,tobe awaka,20.8,9.3,9.1,0.8,58.7
CBS prospect rankings,76,Ernest Udeh Jr.,Miami,Sr,C,6-11,83.0,266.0,ernest udeh,28.2,6.7,9.2,0.5,72.7
CBS prospect rankings,77,Graham Ike,Gonzaga,Sr,C,6-9,81.0,250.0,graham ike,31.1,19.9,8.0,2.4,56.3
CBS prospect rankings,79,Elijah Mahi,Santa Clara,Sr,PF,6-7,79.0,220.0,elijah mahi,30.4,14.1,4.7,2.6,44.7
CBS prospect rankings,80,Seth Trimble,N. Carolina,Sr,PG,6-3,75.0,200.0,seth trimble,32.3,14.0,3.8,3.0,47.1
CBS prospect rankings,81,Chris Bell,California,Sr,SF,6-7,79.0,195.0,chris bell,27.9,14.2,2.6,0.6,45.9
CBS prospect rankings,82,Melvin Council Jr.,Kansas,Sr,PG,6-4,76.0,180.0,melvin council,34.9,12.7,5.0,5.1,39.2
CBS prospect rankings,83,Duke Miles,Vanderbilt,Sr,PG,6-2,74.0,180.0,duke miles,29.5,16.1,3.0,4.5,43.5
CBS prospect rankings,84,Lajae Jones,Florida St.,Sr,SF,6-7,79.0,220.0,lajae jones,29.5,12.7,5.7,1.1,42.7
CBS prospect rankings,86,Jaxon Kohler,Michigan St.,Sr,PF,6-10,82.0,245.0,jaxon kohler,27.7,12.5,8.9,1.3,50.0
CBS prospect rankings,87,Josh Dix,Creighton,Sr,SG,6-6,78.0,205.0,josh dix,32.8,13.2,3.7,2.3,43.9
CBS prospect rankings,88,Mark Mitchell,Missouri,Sr,PF,6-9,81.0,230.0,mark mitchell,33.8,18.3,5.2,3.6,54.7
CBS prospect rankings,89,Tre Donaldson,Miami,Sr,PG,6-3,75.0,198.0,tre donaldson,34.1,16.4,3.6,5.7,45.4
CBS prospect rankings,90,Donovan Atwell,Texas Tech,Sr,SG,6-5,77.0,200.0,donovan atwell,34.7,13.5,3.2,0.8,46.3
CBS prospect rankings,91,Ben Humrichous,Illinois,Sr,PF,6-9,81.0,235.0,ben humrichous,22.5,5.8,3.9,0.8,38.3
CBS prospect rankings,92,Oscar Cluff,Purdue,Sr,C,6-11,83.0,255.0,oscar cluff,24.7,10.6,7.5,1.8,68.3
CBS prospect rankings,93,Chase Ross,Marquette,Sr,SG,6-5,77.0,210.0,chase ross,32.9,14.3,4.2,3.4,42.1
CBS prospect rankings,95,William Kyle,Syracuse,Sr,C,6-9,81.0,230.0,william kyle,28.2,8.4,7.1,0.9,66.1
CBS prospect rankings,96,Tre White,Kansas,Sr,SF,6-7,79.0,215.0,tre white,31.3,13.5,6.7,1.8,45.0
CBS prospect rankings,97,Fletcher Loyer,Purdue,Sr,SG,6-5,77.0,180.0,fletcher loyer,29.3,14.1,2.3,2.1,45.0
CBS prospect rankings,98,Xaivian Lee,Florida,Sr,PG,6-4,76.0,180.0,xaivian lee,27.3,11.6,3.7,4.1,42.0
CBS prospect rankings,99,Nimari Burnett,Michigan,Sr,SG,6-5,77.0,195.0,nimari burnett,19.8,8.2,2.8,1.2,45.3
CBS prospect rankings,100,Isaac McKneely,Louisville,Sr,SG,6-4,76.0,195.0,isaac mckneely,29.0,10.9,3.0,1.4,41.6
