norm_name,name,height_listed,height_in,weight_lbs,sources,wingspan_listed,wingspan_in,height_wo_shoes,height_wo_shoes_in,standing_reach,standing_reach_in
cameron boozer,Cameron Boozer,"6'9.5""",81.5,253.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,7-1 1/2,85.5,6’8.25″,80.25,9’0″,108.0
darryn peterson,Darryn Peterson,"6'5.75""",77.75,199.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,6-9 3/4,81.75,6’4.5″,76.5,8’7″,103.0
aj dybantsa,AJ Dybantsa,"6'9.75""",81.75,217.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,7-0 1/4,84.25,6’8.5″,80.5,8’10”,106.0
caleb wilson,Caleb Wilson,"6'10.5""",82.5,211.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,7-0 1/4,84.25,6’9.25″,81.25,9’0″,108.0
keaton wagler,Keaton Wagler,"6'6.25""",78.25,188.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,6-6 1/4,78.25,6’5″,77.0,8’4″,100.0
darius acuff,Darius Acuff Jr.,"6'3.25""",75.25,186.0,NBA Draft Room mock;Tankathon;Yahoo/KOC big board,6-7,79.0,,,,
kingston flemings,Kingston Flemings,"6'3.75""",75.75,183.0,NBA Draft Room mock;On3 combine measurements;Tankathon,6-3 1/2,75.5,6’2.5″,74.5,8’2.5″,98.5
brayden burries,Brayden Burries,"6'5""",77.0,215.0,NBA Draft Room mock;Tankathon;Yahoo/KOC big board,6-6,78.0,,,,
mikel brown,Mikel Brown Jr.,"6'4.75""",76.75,190.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,6-7 1/2,79.5,6’3.5″,75.5,8’4.5″,100.5
nate ament,Nate Ament,"6'10.75""",82.75,211.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,6-11 1/2,83.5,6’9.5″,81.5,9’1.5″,109.5
labaron philon,Labaron Philon Jr.,"6'3.75""",75.75,176.0,NBA Draft Room mock;Tankathon,6-6 1/4,78.25,,,,
yaxel lendeborg,Yaxel Lendeborg,"6'10""",82.0,241.0,NBA Draft Room mock;Tankathon,7-3 1/4,87.25,,,,
karim lopez,Karim López,"6'9.5""",81.5,222.0,NBA Draft Room mock;Tankathon,6-11 1/2,83.5,,,,
cameron carr,Cameron Carr,"6'5.75""",77.75,184.0,NBA Draft Room mock;Tankathon,7-0 3/4,84.75,,,,
hannes steinbach,Hannes Steinbach,"6'11.5""",83.5,248.0,NBA Draft Room mock;On3 combine measurements;Tankathon,7-2 1/4,86.25,6’10.25″,82.25,9’0″,108.0
chris cenac,Chris Cenac Jr.,"6'11.5""",83.5,240.0,NBA Draft Room mock;On3 combine measurements;Tankathon,7-5,89.0,6’10.25″,82.25,9’0.5″,108.5
morez johnson,Morez Johnson Jr.,"6'10.25""",82.25,251.0,NBA Draft Room mock;Tankathon,7-3 1/2,87.5,,,,
aday mara,Aday Mara,"7'4.25""",88.25,260.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,7-6,90.0,7’3″,87.0,9’9″,117.0
jayden quaintance,Jayden Quaintance,"6'10.25""",82.25,253.0,NBA Draft Room mock;On3 combine measurements;Tankathon,7-5 1/4,89.25,6’9″,81.0,9’1″,109.0
bennett stirtz,Bennett Stirtz,"6'3.75""",75.75,186.0,NBA Draft Room mock;On3 combine measurements;Tankathon,6-6 –,78.0,6’2.5″,74.5,8’2.5″,98.5
dailyn swain,Dailyn Swain,"6'7.75""",79.75,211.0,NBA Draft Room mock;Tankathon,6-10,82.0,,,,
christian anderson,Christian Anderson,"6'2.25""",74.25,180.0,NBA Draft Room mock;On3 combine measurements;Tankathon,6-6 1/4 –,78.25,6’0.75″,72.75,8’0.5″,96.5
allen graves,Allen Graves,"6'9""",81.0,226.0,Tankathon,,,,,,
ebuka okorie,Ebuka Okorie,"6'2.5""",74.5,186.0,NBA Draft Room mock;Tankathon,6-7 3/4 –,79.75,,,,
koa peat,Koa Peat,"6'8.25""",80.25,245.0,NBA Draft Room mock;Tankathon,6-11 1/4,83.25,,,,
isaiah evans,Isaiah Evans,"6'6.75""",78.75,186.0,Tankathon,,,,,,
joshua jefferson,Joshua Jefferson,"6'9""",81.0,246.0,Tankathon,,,,,,
meleek thomas,Meleek Thomas,"6'4.25""",76.25,190.0,Tankathon,,,,,,
henri veesaar,Henri Veesaar,"7'0.5""",84.5,227.0,Tankathon,,,,,,
tarris reed,Tarris Reed Jr.,"6'11""",83.0,264.0,NBA Draft Room mock;Tankathon,7-4 1/4,88.25,,,,
sergio de larrea,Sergio de Larrea,"6'6""",78.0,198.0,Tankathon,,,,,,
alex karaban,Alex Karaban,"6'8""",80.0,225.0,Tankathon,,,,,,
zuby ejiofor,Zuby Ejiofor,"6'8.75""",80.75,245.0,NBA Draft Room mock;Tankathon,7-2,86.0,,,,
luigi suigo,Luigi Suigo,"7'4""",88.0,289.0,NBA Draft Room mock;Tankathon,7-5 1/2 –,89.5,,,,
richie saunders,Richie Saunders,"6'6.25""",78.25,205.0,Tankathon,,,,,,
ryan conwell,Ryan Conwell,"6'3.25""",75.25,215.0,Tankathon,,,,,,
ugonna onyenso,Ugonna Onyenso,"7'0.25""",84.25,237.0,Tankathon,,,,,,
jaden bradley,Jaden Bradley,"6'3.75""",75.75,205.0,Tankathon,,,,,,
trevon brazile,Trevon Brazile,"6'10.75""",82.75,226.0,Tankathon,,,,,,
baba miller,Baba Miller,"6'11.75""",83.75,208.0,Tankathon,,,,,,
jack kayil,Jack Kayil,"6'3""",75.0,174.0,Tankathon,,,,,,
otega oweh,Otega Oweh,"6'5.5""",77.5,216.0,Tankathon,,,,,,
nick martinelli,Nick Martinelli,"6'7.75""",79.75,224.0,Tankathon,,,,,,
ja kobi gillespie,Ja'Kobi Gillespie,"6'1""",73.0,182.0,Tankathon,,,,,,
emanuel sharp,Emanuel Sharp,"6'4""",76.0,208.0,Tankathon,,,,,,
izaiyah nelson,Izaiyah Nelson,"6'9.5""",81.5,219.0,Tankathon,,,,,,
bruce thornton,Bruce Thornton,"6'1.25""",73.25,223.0,Tankathon,,,,,,
milos uzan,Milos Uzan,"6'4.25""",76.25,185.0,Tankathon,,,,,,
tyler nickel,Tyler Nickel,"6'7.25""",79.25,217.0,Tankathon,,,,,,
braden smith,Braden Smith,"5'11.5""",71.5,167.0,Tankathon,,,,,,
maliq brown,Maliq Brown,"6'9.25""",81.25,217.0,Tankathon,,,,,,
tyler bilodeau,Tyler Bilodeau,"6'8.5""",80.5,228.0,Tankathon,,,,,,
felix okpara,Felix Okpara,"6'11.25""",83.25,237.0,Tankathon,,,,,,
tamin lipsey,Tamin Lipsey,"6'1""",73.0,200.0,Tankathon,,,,,,
pavle backo,Pavle Backo,"6'11""",83.0,262.0,Tankathon,,,,,,
kylan boswell,Kylan Boswell,"6'2.5""",74.5,226.0,Tankathon,,,,,,
tobi lawal,Tobi Lawal,"6'8.5""",80.5,214.0,Tankathon,,,,,,
rafael castro,Rafael Castro,"6'10.25""",82.25,224.0,Tankathon,,,,,,
keyshawn hall,Keyshawn Hall,"6'7.25""",79.25,227.0,Tankathon,,,,,,
dillon mitchell,Dillon Mitchell,"6'8""",80.0,202.0,Tankathon,,,,,,
quadir copeland,Quadir Copeland,"6'6""",78.0,220.0,Tankathon,,,,,,
nick boyd,Nick Boyd,"6'2.25""",74.25,176.0,Tankathon,,,,,,
peter suder,Peter Suder,"6'5""",77.0,213.0,Tankathon,,,,,,
nate bittle,Nate Bittle,"7'0""",84.0,250.0,Tankathon,,,,,,
aaron nkrumah,Aaron Nkrumah,"6'6.25""",78.25,189.0,Tankathon,,,,,,
trey kaufman renn,Trey Kaufman-Renn,"6'9""",81.0,241.0,Tankathon,,,,,,
bryce hopkins,Bryce Hopkins,"6'7.25""",79.25,219.0,Tankathon,,,,,,
malik reneau,Malik Reneau,"6'9""",81.0,238.0,Tankathon,,,,,,
tucker devries,Tucker DeVries,"6'7""",79.0,220.0,Tankathon,,,,,,
darrion williams,Darrion Williams,"6'5.75""",77.75,236.0,Tankathon,,,,,,
mark mitchell,Mark Mitchell,"6'9""",81.0,230.0,Tankathon,,,,,,
henry veesaar,Henry Veesaar,7-0 1/4,84.25,227.0,NBA Draft Room mock,7-2 –,86.0,,,,
byu,BYU,,,217.0,On3 combine measurements,7’0.25″,84.25,6’8.5″,80.5,8’10”,106.0
kansas,Kansas,,,198.8,On3 combine measurements,6’9.75″,81.75,6’4.5″,76.5,8’7″,103.0
duke,Duke,,,252.8,On3 combine measurements,7’1.5″,85.5,6’8.25″,80.25,9’0″,108.0
north carolina,North Carolina,,,210.8,On3 combine measurements,7’0.25″,84.25,6’9.25″,81.25,9’0″,108.0
nba combine measurements winners,NBA Combine Measurements: Winners,,,190.2,On3 combine measurements,6’7.5″,79.5,6’3.5″,75.5,8’4.5″,100.5
louisville,Louisville,,,190.2,On3 combine measurements,6’7.5″,79.5,6’3.5″,75.5,8’4.5″,100.5
tennessee,Tennessee,,,210.8,On3 combine measurements,6’11.5″,83.5,6’9.5″,81.5,9’1.5″,109.5
kentucky,Kentucky,,,253.4,On3 combine measurements,7’5.25″,89.25,6’9″,81.0,9’1″,109.0
michigan,Michigan,,,259.8,On3 combine measurements,7’6″,90.0,7’3″,87.0,9’9″,117.0
washington,Washington,,,248.0,On3 combine measurements,7’2.25″,86.25,6’10.25″,82.25,9’0″,108.0
houston,Houston,,,239.6,On3 combine measurements,7’5″,89.0,6’10.25″,82.25,9’0.5″,108.5
nba combine measurements losers,NBA Combine Measurements: Losers,,,188.0,On3 combine measurements,6’6.25″,78.25,6’5″,77.0,8’4″,100.0
illinois,Illinois,,,188.0,On3 combine measurements,6’6.25″,78.25,6’5″,77.0,8’4″,100.0
iowa,Iowa,,,186.2,On3 combine measurements,6’6″,78.0,6’2.5″,74.5,8’2.5″,98.5
texas tech,Texas Tech,,,180.4,On3 combine measurements,6’6.25″,78.25,6’0.75″,72.75,8’0.5″,96.5
amari allen,Amari Allen,,,204.6,On3 combine measurements,6’8″,80.0,6’5.25″,77.25,8’3.5″,99.5
alabama,Alabama,,,204.6,On3 combine measurements,6’8″,80.0,6’5.25″,77.25,8’3.5″,99.5
