source,rank,name,norm_name
CBS prospect rankings,42,Emanuel Sharp,emanuel sharp
CBS prospect rankings,43,Tyler Bilodeau,tyler bilodeau
CBS prospect rankings,44,Bruce Thornton,bruce thornton
CBS prospect rankings,45,Ja'Kobi Gillespie,ja kobi gillespie
CBS prospect rankings,46,Ugonna Onyenso,ugonna onyenso
CBS prospect rankings,47,Kylan Boswell,kylan boswell
CBS prospect rankings,48,Milos Uzan,milos uzan
CBS prospect rankings,49,Dillon Mitchell,dillon mitchell
CBS prospect rankings,50,Tyler Nickel,tyler nickel
CBS prospect rankings,51,Maliq Brown,maliq brown
CBS prospect rankings,52,Tobi Lawal,tobi lawal
CBS prospect rankings,53,Aaron Nkrumah,aaron nkrumah
CBS prospect rankings,54,Felix Okpara,felix okpara
CBS prospect rankings,55,Keyshawn Hall,keyshawn hall
CBS prospect rankings,56,Nate Bittle,nate bittle
CBS prospect rankings,57,Izaiyah Nelson,izaiyah nelson
CBS prospect rankings,58,Rafael Castro,rafael castro
CBS prospect rankings,59,Nick Boyd,nick boyd
CBS prospect rankings,60,Bryce Hopkins,bryce hopkins
CBS prospect rankings,61,Quadir Copeland,quadir copeland
CBS prospect rankings,62,Tamin Lipsey,tamin lipsey
CBS prospect rankings,63,Malik Reneau,malik reneau
CBS prospect rankings,64,Jaron Pierre Jr.,jaron pierre
CBS prospect rankings,65,Tucker DeVries,tucker devries
CBS prospect rankings,66,Peter Suder,peter suder
CBS prospect rankings,67,Cade Tyson,cade tyson
CBS prospect rankings,69,Jaden Henley,jaden henley
CBS prospect rankings,70,Nick Martinelli,nick martinelli
CBS prospect rankings,72,Lamar Wilkerson,lamar wilkerson
CBS prospect rankings,73,Darrion Williams,darrion williams
CBS prospect rankings,74,Trey Kaufman-Renn,trey kaufman renn
CBS prospect rankings,75,Tobe Awaka,tobe awaka
CBS prospect rankings,76,Ernest Udeh Jr.,ernest udeh
CBS prospect rankings,77,Graham Ike,graham ike
CBS prospect rankings,79,Elijah Mahi,elijah mahi
CBS prospect rankings,80,Seth Trimble,seth trimble
CBS prospect rankings,81,Chris Bell,chris bell
CBS prospect rankings,82,Melvin Council Jr.,melvin council
CBS prospect rankings,83,Duke Miles,duke miles
CBS prospect rankings,84,Lajae Jones,lajae jones
CBS prospect rankings,86,Jaxon Kohler,jaxon kohler
CBS prospect rankings,87,Josh Dix,josh dix
CBS prospect rankings,88,Mark Mitchell,mark mitchell
CBS prospect rankings,89,Tre Donaldson,tre donaldson
CBS prospect rankings,90,Donovan Atwell,donovan atwell
CBS prospect rankings,91,Ben Humrichous,ben humrichous
CBS prospect rankings,92,Oscar Cluff,oscar cluff
CBS prospect rankings,93,Chase Ross,chase ross
CBS prospect rankings,95,William Kyle,william kyle
CBS prospect rankings,96,Tre White,tre white
CBS prospect rankings,97,Fletcher Loyer,fletcher loyer
CBS prospect rankings,98,Xaivian Lee,xaivian lee
CBS prospect rankings,99,Nimari Burnett,nimari burnett
CBS prospect rankings,100,Isaac McKneely,isaac mckneely
CBS mock,1,AJ Dybantsa,aj dybantsa
CBS mock,2,Darryn Peterson,darryn peterson
CBS mock,3,Cameron Boozer,cameron boozer
CBS mock,4,Caleb Wilson,caleb wilson
CBS mock,5,Keaton Wagler,keaton wagler
CBS mock,6,Darius Acuff Jr.,darius acuff
CBS mock,7,Mikel Brown Jr.,mikel brown
CBS mock,8,Kingston Flemings,kingston flemings
CBS mock,9,Brayden Burries,brayden burries
CBS mock,10,Nate Ament,nate ament
CBS mock,11,Aday Mara,aday mara
CBS mock,12,Yaxel Lendeborg,yaxel lendeborg
CBS mock,13,Labaron Philon,labaron philon
CBS mock,16,Hannes Steinbach,hannes steinbach
CBS mock,18,Dailyn Swain,dailyn swain
CBS mock,21,Bennett Stirtz,bennett stirtz
CBS mock,22,Koa Peat,koa peat
CBS mock,23,Chris Cenac Jr.,chris cenac
CBS mock,24,Tarris Reed Jr.,tarris reed
CBS mock,25,Henri Veesaar,henri veesaar
CBS mock,26,Ebuka Okorie,ebuka okorie
CBS mock,27,Allen Graves,allen graves
CBS mock,29,Meleek Thomas,meleek thomas
CBS mock,30,Zuby Ejiofor,zuby ejiofor
Bleacher Report mock,1,AJ Dybantsa,aj dybantsa
Bleacher Report mock,2,Darryn Peterson,darryn peterson
Bleacher Report mock,3,Cameron Boozer,cameron boozer
Bleacher Report mock,4,Caleb Wilson,caleb wilson
Bleacher Report mock,5,Keaton Wagler,keaton wagler
Bleacher Report mock,6,Darius Acuff Jr.,darius acuff
Bleacher Report mock,7,Kingston Flemings,kingston flemings
Bleacher Report mock,8,Mikel Brown Jr.,mikel brown
Bleacher Report mock,9,Brayden Burries,brayden burries
Bleacher Report mock,10,Nate Ament,nate ament
Bleacher Report mock,11,Karim Lopez,karim lopez
Bleacher Report mock,12,Aday Mara,aday mara
Bleacher Report mock,13,Yaxel Lendeborg,yaxel lendeborg
Bleacher Report mock,14,Labaron Philon Jr.,labaron philon
Bleacher Report mock,15,Cameron Carr,cameron carr
Bleacher Report mock,16,Ebuka Okorie,ebuka okorie
Bleacher Report mock,17,Morez Johnson Jr.,morez johnson
Bleacher Report mock,18,Hannes Steinbach,hannes steinbach
Bleacher Report mock,19,Christian Anderson,christian anderson
Bleacher Report mock,20,Allen Graves,allen graves
Bleacher Report mock,21,Bennett Stirtz,bennett stirtz
Bleacher Report mock,22,Chris Cenac Jr.,chris cenac
Bleacher Report mock,23,Jayden Quaintance,jayden quaintance
Bleacher Report mock,24,Meleek Thomas,meleek thomas
Bleacher Report mock,25,Dailyn Swain,dailyn swain
Bleacher Report mock,26,Luigi Suigo,luigi suigo
Bleacher Report mock,27,Koa Peat,koa peat
Bleacher Report mock,28,Isaiah Evans,isaiah evans
Bleacher Report mock,29,Sergio de Larrea,sergio de larrea
Bleacher Report mock,30,Henri Veesaar,henri veesaar
Bleacher Report mock,31,Zuby Ejiofor,zuby ejiofor
Bleacher Report mock,32,Tarris Reed Jr.,tarris reed
Bleacher Report mock,33,Joshua Jefferson,joshua jefferson
Bleacher Report mock,34,Alex Karaban,alex karaban
Bleacher Report mock,35,Baba Miller,baba miller
Bleacher Report mock,36,Trevon Brazile,trevon brazile
Bleacher Report mock,37,Jack Kayil,jack kayil
Bleacher Report mock,38,Braden Smith,braden smith
Bleacher Report mock,39,Ugonna Onyenso,ugonna onyenso
Bleacher Report mock,40,Izaiyah Nelson,izaiyah nelson
Bleacher Report mock,41,Richie Saunders,richie saunders
Bleacher Report mock,42,Nick Martinelli,nick martinelli
Bleacher Report mock,43,Otega Oweh,otega oweh
Bleacher Report mock,44,Jaden Bradley,jaden bradley
Bleacher Report mock,45,Emanuel Sharp,emanuel sharp
Bleacher Report mock,46,Ryan Conwell,ryan conwell
Bleacher Report mock,47,Ja'Kobi Gillespie,ja kobi gillespie
Bleacher Report mock,48,Aaron Nkrumah,aaron nkrumah
Bleacher Report mock,49,Tobi Lawal,tobi lawal
Bleacher Report mock,50,Dillon Mitchell,dillon mitchell
Bleacher Report mock,51,Milos Uzan,milos uzan
Bleacher Report mock,52,Kylan Boswell,kylan boswell
Bleacher Report mock,53,Wyatt Fricks,wyatt fricks
Bleacher Report mock,54,Duke Miles,duke miles
Bleacher Report mock,55,Felix Okpara,felix okpara
Bleacher Report mock,56,Maliq Brown,maliq brown
Bleacher Report mock,57,Bruce Thornton,bruce thornton
Bleacher Report mock,58,Rafael Castro,rafael castro
Bleacher Report mock,59,Keyshawn Hall,keyshawn hall
Bleacher Report mock,60,Trey Kaufman-Renn,trey kaufman renn
Yahoo/KOC big board,1,Cameron Boozer,cameron boozer
Yahoo/KOC big board,2,AJ Dybantsa,aj dybantsa
Yahoo/KOC big board,3,Darryn Peterson,darryn peterson
Yahoo/KOC big board,4,Caleb Wilson,caleb wilson
Yahoo/KOC big board,5,Mikel Brown Jr.,mikel brown
Yahoo/KOC big board,6,Keaton Wagler,keaton wagler
Yahoo/KOC big board,7,Darius Acuff Jr.,darius acuff
Yahoo/KOC big board,8,Brayden Burries,brayden burries
Yahoo/KOC big board,9,Aday Mara,aday mara
Yahoo/KOC big board,10,Nate Ament,nate ament
The Ringer big board,1,AJ Dybantsa,aj dybantsa
The Ringer big board,2,Darryn Peterson,darryn peterson
The Ringer big board,3,Cam Boozer,cameron boozer
The Ringer big board,4,Caleb Wilson,caleb wilson
The Ringer big board,5,Keaton Wagler,keaton wagler
The Ringer big board,6,Brayden Burries,brayden burries
The Ringer big board,7,Darius Acuff Jr.,darius acuff
The Ringer big board,8,Yaxel Lendeborg,yaxel lendeborg
The Ringer big board,9,Labaron Philon Jr.,labaron philon
The Ringer big board,10,Mikel Brown Jr.,mikel brown
The Ringer big board,11,Kingston Flemings,kingston flemings
The Ringer big board,12,Jayden Quaintance,jayden quaintance
The Ringer big board,13,Dailyn Swain,dailyn swain
The Ringer big board,14,Aday Mara,aday mara
The Ringer big board,15,Cameron Carr,cameron carr
The Ringer big board,16,Bennett Stirtz,bennett stirtz
The Ringer big board,17,Henri Veesaar,henri veesaar
The Ringer big board,18,Allen Graves,allen graves
The Ringer big board,19,Nate Ament,nate ament
The Ringer big board,20,Joshua Jefferson,joshua jefferson
The Ringer big board,21,Hannes Steinbach,hannes steinbach
The Ringer big board,22,Ebuka Okorie,ebuka okorie
The Ringer big board,23,Morez Johnson,morez johnson
The Ringer big board,24,Isaiah Evans,isaiah evans
The Ringer big board,25,Meleek Thomas,meleek thomas
The Ringer big board,26,Koa Peat,koa peat
The Ringer big board,27,Karim Lopez,karim lopez
The Ringer big board,28,Christian Anderson,christian anderson
The Ringer big board,29,Luigi Suigo,luigi suigo
The Ringer big board,30,Tarris Reed Jr.,tarris reed
NBA Draft Room big board,1,AJ Dybantsa,aj dybantsa
NBA Draft Room big board,2,Darryn Peterson,darryn peterson
NBA Draft Room big board,3,Caleb Wilson,caleb wilson
NBA Draft Room big board,4,Cameron Boozer,cameron boozer
NBA Draft Room big board,5,Kingston Flemings,kingston flemings
NBA Draft Room big board,6,Darius Acuff Jr.,darius acuff
NBA Draft Room big board,7,Mikel Brown Jr.,mikel brown
NBA Draft Room big board,8,Keaton Wagler,keaton wagler
NBA Draft Room big board,9,Brayden Burries,brayden burries
NBA Draft Room big board,10,Hannes Steinbach,hannes steinbach
NBA Draft Room big board,11,Aday Mara,aday mara
NBA Draft Room big board,12,Labaron Philon,labaron philon
NBA Draft Room big board,13,Karim Lopez,karim lopez
NBA Draft Room big board,14,Morez Johnson Jr.,morez johnson
NBA Draft Room big board,15,Chris Cenac Jr.,chris cenac
NBA Draft Room big board,16,Cameron Carr,cameron carr
NBA Draft Room big board,17,Nate Ament,nate ament
NBA Draft Room big board,18,Allen Graves,allen graves
NBA Draft Room big board,19,Dailyn Swain,dailyn swain
NBA Draft Room big board,20,Tarris Reed Jr.,tarris reed
NBA Draft Room big board,21,Ebuka Okorie,ebuka okorie
NBA Draft Room big board,22,Henri Veesaar,henri veesaar
NBA Draft Room big board,23,Bennett Stirtz,bennett stirtz
NBA Draft Room big board,24,Luigi Suigo,luigi suigo
NBA Draft Room big board,25,Koa Peat,koa peat
NBA Draft Room big board,26,Meleek Thomas,meleek thomas
NBA Draft Room big board,27,Christian Anderson,christian anderson
NBA Draft Room big board,28,Jayden Quaintance,jayden quaintance
NBA Draft Room big board,29,Zuby Ejiofor,zuby ejiofor
NBA Draft Room big board,30,Pavle Bačko,pavle backo
NBA Draft Room big board,31,Jaden Bradley,jaden bradley
NBA Draft Room big board,32,Joshua Jefferson,joshua jefferson
NBA Draft Room big board,33,Isaiah Evans,isaiah evans
NBA Draft Room big board,34,Alex Karaban,alex karaban
NBA Draft Room big board,35,Trevon Brazile,trevon brazile
NBA Draft Room big board,36,Ryan Conwell,ryan conwell
NBA Draft Room big board,37,Jack Kayil,jack kayil
NBA Draft Room big board,38,Keyshawn Hall,keyshawn hall
NBA Draft Room big board,39,Baba Miller,baba miller
NBA Draft Room big board,40,Ja’kobi Gillespie,jakobi gillespie
NBA Draft Room big board,41,Dillon Mitchell –,dillon mitchell
NBA Draft Room big board,42,Tyler Bilodeau,tyler bilodeau
NBA Draft Room big board,43,Quadir Copeland,quadir copeland
NBA Draft Room big board,44,Otega Oweh,otega oweh
NBA Draft Room big board,45,Fletcher Loyer,fletcher loyer
NBA Draft Room big board,46,Aaron Nkrumah,aaron nkrumah
NBA Draft Room big board,47,Trey Kaufman-Renn,trey kaufman renn
NBA Draft Room big board,48,Richie Saunders,richie saunders
NBA Draft Room big board,49,Braden Smith,braden smith
NBA Draft Room big board,50,Nick Martinelli,nick martinelli
NBA Draft Room big board,51,Lamar Wilkerson,lamar wilkerson
NBA Draft Room big board,52,Melvin Council Jr. –,melvin council
NBA Draft Room big board,53,Sergio de Larrea,sergio de larrea
NBA Draft Room big board,54,Tobi Lawal,tobi lawal
NBA Draft Room big board,55,Izaiyah Nelson,izaiyah nelson
NBA Draft Room big board,56,Emanuel Sharpe,emanuel sharpe
NBA Draft Room big board,57,Felix Okpara,felix okpara
NBA Draft Room big board,58,Bruce Thornton,bruce thornton
NBA Draft Room big board,59,Bryce Hopkins,bryce hopkins
NBA Draft Room big board,60,Seth Trimble,seth trimble
NBA Draft Room big board,61,Tyler Nickel,tyler nickel
NBA Draft Room big board,62,Ugonna Onyenso,ugonna onyenso
NBA Draft Room big board,63,Milos Uzan,milos uzan
NBA Draft Room big board,64,Jaxon Kohler,jaxon kohler
NBA Draft Room big board,65,Malik Reneau –,malik reneau
NBA Draft Room big board,66,Nick Boyd –,nick boyd
NBA Draft Room big board,67,Malique Lewis,malique lewis
NBA Draft Room big board,68,Tobe Awaka –,tobe awaka
NBA Draft Room big board,69,Kylan Boswell,kylan boswell
NBA Draft Room big board,70,Maliq Brown,maliq brown
