rank,name_tankathon,position,team_school,height_listed,height_in,weight_lbs,class,age,pts_pg,reb_pg,ast_pg,blk_pg,stl_pg,pts_per36,reb_per36,ast_per36,blk_per36,stl_per36,ts_pct,usg,obpm,dbpm,bpm,source,norm_name,name,sources_count,consensus_mean,consensus_median,consensus_std,consensus_min,consensus_max,sources,rank_tankathon,rank_rookie_scale_consensus,rank_cbs_prospect_rankings,rank_bleacher_report_mock,rank_nba_draft_room_big_board,rank_tankathon_mock,rank_cbs_mock,rank_yahoo_koc_big_board,rank_the_ringer_big_board,cbs_mpg,cbs_ppg,cbs_rpg,cbs_apg,cbs_fg_pct,name_combine,height_listed_combine,height_in_combine,weight_lbs_combine,sources_combine,wingspan_listed,wingspan_in,height_wo_shoes,height_wo_shoes_in,standing_reach,standing_reach_in,display_name,name_wb,height_wo_shoes_in_wb,weight_lbs_wb,wingspan_in_wb,standing_reach_in_wb,standing_vert_in,max_vert_in,lane_agility_s,shuttle_s,sprint_s,market_rank,age_at_draft,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,tov_per40,usg_pct,position_group,ft_pct,three_pct,three_pa_per40,pred_value_p10,pred_value_p50,pred_value_p90,ridge_pred,gbm_pred,rf_pred,prob_bust,prob_bench,prob_rotation,prob_starter,prob_star,board_score,board_rank,tier,comp_players,comp_median_mpg,comp_floor_mpg,comp_ceiling_mpg,comp_tiers
21.0,Dailyn Swain,SG/SF,Texas,"6'7.75""",78.5,211.2,Junior,20.9,17.3,7.5,3.6,0.3,1.6,19.0,8.3,3.9,0.3,1.8,0.636,24.6,6.9,3.6,10.5,Tankathon,dailyn swain,Dailyn Swain,8,20.0,20.0,3.840572873934304,13,25,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,21.0,22.0,25.0,25.0,19.0,17.0,18.0,,13.0,32.7,17.3,7.5,3.6,54.2,Dailyn Swain,"6'7.75""",79.75,211.0,NBA Draft Room mock;Tankathon,6-10,82.0,,,,104.5,Dailyn Swain,Dailyn Swain,78.5,211.2,82.0,104.5,28.0,36.5,11.25,3.08,3.21,20.0,20.9,21.11111111111111,9.222222222222223,4.333333333333333,2.0,0.3333333333333333,,24.6,wing,,,,20.663545840484925,21.98108688473276,23.44446623753685,23.39589487454503,21.550015099674027,23.194476238960068,0.05714507754052155,0.14427656161500282,0.41458308287995377,0.33194345660693464,0.05205182135758747,1.12520158267861,16,Tier 4: rotation upside,Kyle Korver; Luke Jackson; Mike Miller; Ryan Gomes; Reyshawn Terry,25.4,9.9,27.32,starter; bench; starter; starter; bust
15.0,Hannes Steinbach,PF,Washington,"6'11.5""",82.25,248.0,Freshman,20.1,18.5,11.8,1.6,1.2,1.1,19.3,12.2,1.6,1.3,1.1,0.636,23.9,7.7,2.4,10.1,Tankathon,hannes steinbach,Hannes Steinbach,8,16.125,16.0,2.9764702249476644,10,21,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,15.0,15.0,16.0,18.0,10.0,18.0,16.0,,21.0,34.6,18.5,11.8,1.6,57.7,Hannes Steinbach,"6'11.5""",83.5,248.0,NBA Draft Room mock;On3 combine measurements;Tankathon,7-2 1/4,86.25,6’10.25″,82.25,9’0″,108.0,Hannes Steinbach,Hannes Steinbach,82.25,248.0,86.25,108.0,30.0,35.5,10.9,2.89,3.38,16.125,20.1,21.444444444444446,13.555555555555555,1.777777777777778,1.2222222222222223,1.4444444444444446,,23.9,forward_big,,,,16.46911119720716,18.05903103213133,20.212369428695744,21.2271476045142,18.08328727895353,19.10097274596449,0.03924528751961612,0.22235602819917408,0.5206977197447774,0.1878234039167775,0.029877560619654915,1.065225515212481,17,Tier 4: rotation upside,Jakob Poeltl; Bobby Portis; Justin Patton; Domantas Sabonis; Zeke Nnaji,21.5,13.4,26.9,rotation; rotation; bench; starter; bench
20.0,Bennett Stirtz,PG,Iowa,"6'3.75""",74.5,186.2,Senior,22.7,19.8,2.6,4.4,0.2,1.4,18.9,2.5,4.2,0.2,1.3,0.607,26.9,7.7,2.5,10.2,Tankathon,bennett stirtz,Bennett Stirtz,8,19.75,19.5,1.920286436967152,16,23,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,20.0,19.0,19.0,21.0,23.0,19.0,21.0,,16.0,37.8,19.8,2.6,4.4,47.7,Bennett Stirtz,"6'3.75""",75.75,186.0,NBA Draft Room mock;On3 combine measurements;Tankathon,6-6 –,78.0,6’2.5″,74.5,8’2.5″,98.5,Bennett Stirtz,Bennett Stirtz,74.5,186.2,78.0,98.5,30.5,37.5,11.25,2.91,3.17,19.75,22.7,21.0,2.7777777777777777,4.666666666666667,1.4444444444444446,0.22222222222222224,,26.9,guard,,,,17.86761923356267,19.271683106981172,20.309652470101664,21.327775427696697,18.884624781926043,19.768373188790072,0.04913061177490627,0.24943935035606427,0.4807909565521275,0.19948216646459294,0.02115691485230915,1.0412158636019355,18,Tier 4: rotation upside,Tyshawn Taylor; Marcus Denmon; Toney Douglas; Nolan Smith; Derrick White,9.9,8.0,23.900000000000002,bench; bust; rotation; bench; starter
24.0,Ebuka Okorie,PG,Stanford,"6'2.5""",73.25,186.0,Freshman,19.2,23.2,3.6,3.6,0.3,1.6,23.8,3.7,3.7,0.3,1.6,0.589,31.0,8.4,2.2,10.6,Tankathon,ebuka okorie,Ebuka Okorie,8,22.5,23.5,2.8284271247461903,16,26,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,24.0,24.0,24.0,16.0,21.0,23.0,26.0,,22.0,35.0,23.2,3.6,3.6,46.5,Ebuka Okorie,"6'2.5""",74.5,186.0,NBA Draft Room mock;Tankathon,6-7 3/4 –,79.75,,,,98.0,Ebuka Okorie,Ebuka Okorie,73.25,186.0,79.75,98.0,31.5,37.5,10.71,2.96,3.26,22.5,19.2,26.444444444444446,4.111111111111112,4.111111111111112,1.777777777777778,0.3333333333333333,,31.0,guard,,,,19.221608343983803,20.884475312148922,22.936685649007202,21.57097019458617,21.65642087436859,19.184642726464254,0.05864748978882194,0.1880018190849088,0.35336113511272976,0.3608703146035647,0.03911924140997471,1.0309049534412782,19,Tier 4: rotation upside,DAngelo Russell; Markelle Fultz; Gary Harris; Malik Monk; Alec Burks,26.2,22.8,29.18,starter; starter; starter; rotation; rotation
17.0,Morez Johnson Jr.,PF,Michigan,"6'10.25""",81.0,250.6,Sophomore,20.4,13.1,7.3,1.2,1.1,0.7,18.8,10.5,1.7,1.6,1.0,0.677,21.3,6.4,5.4,11.8,Tankathon,morez johnson,Morez Johnson Jr.,6,18.166666666666668,17.0,3.2360813064912666,14,23,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,17.0,16.0,,17.0,14.0,22.0,,,23.0,,,,,,Morez Johnson Jr.,"6'10.25""",82.25,251.0,NBA Draft Room mock;Tankathon,7-3 1/2,87.5,,,,107.0,Morez Johnson Jr.,Morez Johnson,81.0,250.6,87.5,107.0,33.5,39.0,10.59,2.91,3.17,18.166666666666668,20.4,20.88888888888889,11.666666666666668,1.8888888888888888,1.1111111111111112,1.777777777777778,,21.3,forward_big,,,,16.704545837908856,18.180462845610016,19.848003738567527,19.675823008500707,18.352390026232236,19.19915730492641,0.03701928463971636,0.2407570425633729,0.6147850518439478,0.08592355197878018,0.02151506897418273,1.0174851116445447,20,Tier 4: rotation upside,Jakob Poeltl; Justin Patton; Chinanu Onuaku; Bam Adebayo; Montrezl Harrell,20.5,13.4,26.48,rotation; bench; bench; starter; rotation
23.0,Allen Graves,PF,Santa Clara,"6'9""",79.75,225.6,Freshman,19.9,11.8,6.5,1.8,0.9,1.9,18.8,10.4,2.9,1.5,3.0,0.613,21.9,8.7,4.7,13.4,Tankathon,allen graves,Allen Graves,8,22.625,23.0,3.5333235062756425,18,28,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,23.0,23.0,28.0,20.0,18.0,24.0,27.0,,18.0,22.6,11.8,6.5,1.8,51.2,Allen Graves,"6'9""",81.0,226.0,Tankathon,,84.0,,,,106.5,Allen Graves,Allen Graves,79.75,225.6,84.0,106.5,27.5,34.0,11.76,3.18,3.44,22.625,19.9,20.88888888888889,11.555555555555557,3.2222222222222223,3.3333333333333335,1.6666666666666667,,21.9,forward_big,,,,17.713370714433257,20.663135895403517,22.902962381366358,21.440582577348117,19.57687955664001,22.789824562716547,0.0645601816999715,0.15243576413251186,0.3967995967213632,0.31871658516245566,0.06748787228369783,1.0098092907521128,21,Tier 4: rotation upside,Chuma Okeke; Jae Crowder; Otto Porter; Victor Oladipo; Jordan Adams,25.1,22.2,29.48,rotation; starter; starter; starter; bench
22.0,Christian Anderson,PG,Texas Tech,"6'2.25""",72.75,180.4,Sophomore,20.2,18.5,3.6,7.4,0.2,1.5,17.4,3.4,6.9,0.2,1.4,0.626,23.8,7.1,2.3,9.4,Tankathon,christian anderson,Christian Anderson,6,22.83333333333333,21.5,3.435921354681384,19,28,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,22.0,20.0,,19.0,27.0,21.0,,,28.0,,,,,,Christian Anderson,"6'2.25""",74.25,180.0,NBA Draft Room mock;On3 combine measurements;Tankathon,6-6 1/4 –,78.25,6’0.75″,72.75,8’0.5″,96.5,Christian Anderson,Christian Anderson,73.0,180.4,78.25,96.5,31.0,40.5,10.85,2.85,3.18,22.83333333333333,20.2,19.333333333333332,3.7777777777777777,7.666666666666667,1.5555555555555556,0.22222222222222224,,23.8,guard,,,,18.588452742612844,20.35167222998283,21.971517231875634,21.401813854802224,19.350268340513093,21.050187833531183,0.05773226858139758,0.23932837480432073,0.33099986407779736,0.34180749701957885,0.030131995516905343,0.992861078258682,22,Tier 4: rotation upside,Jonny Flynn; John Wall; Jeff Teague; Darren Collison; Edmond Sumner,26.8,22.9,32.66,rotation; star; starter; starter; bench
16.0,Chris Cenac Jr.,PF/C,Houston,"6'11.5""",82.25,239.6,Freshman,19.4,9.5,7.9,0.7,0.5,0.8,13.8,11.4,1.1,0.7,1.1,0.546,19.9,3.7,3.8,7.5,Tankathon,chris cenac,Chris Cenac Jr.,7,19.857142857142858,21.0,2.8996833043120627,15,23,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,16.0,21.0,22.0,22.0,15.0,20.0,23.0,,,24.8,9.5,7.9,0.7,48.5,Chris Cenac Jr.,"6'11.5""",83.5,240.0,NBA Draft Room mock;On3 combine measurements;Tankathon,7-5,89.0,6’10.25″,82.25,9’0.5″,108.5,Chris Cenac Jr.,Chris Cenac Jr.,82.25,239.6,89.0,108.5,33.0,37.0,10.76,2.84,3.27,19.857142857142858,19.4,15.333333333333334,12.666666666666668,1.2222222222222223,1.2222222222222223,0.7777777777777778,,19.9,big,,,,16.531904699932372,18.15101165938433,19.7066602348969,19.090591495716108,17.734874659666776,17.389633046890026,0.07757561387008795,0.37381045317579065,0.3119137004312942,0.1926424030546312,0.04405782946819595,0.9793373882499106,23,Tier 4: rotation upside,Kevon Looney; Tony Bradley; Trey Lyles; Noah Vonleh; Jarrett Allen,18.0,16.2,23.96,rotation; bench; rotation; rotation; starter
25.0,Koa Peat,PF,Arizona,"6'8.25""",79.0,245.0,Freshman,19.4,14.1,5.6,2.6,0.7,0.6,18.3,7.3,3.3,0.9,0.8,0.557,24.5,4.8,3.9,8.8,Tankathon,koa peat,Koa Peat,8,24.375,25.0,2.8256636388643286,18,27,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,25.0,25.0,18.0,27.0,25.0,27.0,22.0,,26.0,27.8,14.1,5.6,2.6,52.8,Koa Peat,"6'8.25""",80.25,245.0,NBA Draft Room mock;Tankathon,6-11 1/4,83.25,,,,104.0,Koa Peat,Koa Peat,79.0,245.0,83.25,104.0,34.5,37.5,11.0,3.39,3.16,24.375,19.4,20.333333333333336,8.11111111111111,3.6666666666666665,0.888888888888889,1.0,,24.5,forward_big,,,,19.15890944505776,20.343580158017467,21.424935556132226,18.492401299308906,20.558349288466157,19.680781157451516,0.05930493030623288,0.2039902379753177,0.3811782242106767,0.30008399232480987,0.055442615182962805,0.9626284434876915,24,Tier 4: rotation upside,Jeremiah Robinson-Earl; Miles Bridges; Tobias Harris; Julius Randle; Ignas Brazdeikis,29.8,19.2,31.84,rotation; starter; starter; starter; bench
28.0,Meleek Thomas,SG/PG,Arkansas,"6'4.25""",75.0,189.6,Freshman,19.9,15.6,3.8,2.5,0.2,1.5,18.5,4.5,2.9,0.2,1.8,0.559,23.6,4.8,2.3,7.0,Tankathon,meleek thomas,Meleek Thomas,8,27.5,28.0,2.345207879911715,24,32,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,28.0,28.0,32.0,24.0,26.0,28.0,29.0,,25.0,30.5,15.6,3.8,2.5,43.3,Meleek Thomas,"6'4.25""",76.25,190.0,Tankathon,,78.75,,,,100.0,Meleek Thomas,Meleek Thomas,75.0,189.6,78.75,100.0,31.5,38.0,11.57,2.97,3.22,27.5,19.9,20.555555555555557,5.0,3.2222222222222223,2.0,0.22222222222222224,,23.6,guard,,,,19.180319811859697,20.923633201413693,22.503261518317437,19.55465334833003,19.9032283000805,19.54076426032043,0.05182452085291652,0.31501870828887935,0.32558983911609696,0.2548758960861306,0.052691035655976604,0.9170277410246419,25,Tier 5: first-round value,Malik Beasley; Bradley Beal; Gary Harris; Eric Bledsoe; Jared Cunningham,27.8,22.6,32.0,rotation; star; starter; starter; bust
29.0,Henri Veesaar,C,North Carolina,"7'0.5""",83.25,227.2,Junior,22.2,17.0,8.7,2.1,1.2,0.6,19.5,10.0,2.4,1.4,0.7,0.664,23.3,7.0,3.8,10.7,Tankathon,henri veesaar,Henri Veesaar,8,24.75,25.0,3.897114317029974,17,30,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,29.0,27.0,23.0,30.0,22.0,25.0,25.0,,17.0,31.3,17.0,8.7,2.1,60.8,Henri Veesaar,"7'0.5""",84.5,227.0,Tankathon,,86.0,,,,111.0,Henri Veesaar,Henri Veesaar,83.25,227.2,86.0,111.0,28.0,32.5,11.2,2.92,3.42,24.75,22.2,21.666666666666668,11.11111111111111,2.6666666666666665,0.7777777777777778,1.5555555555555556,,23.3,big,,,,17.17506636684509,18.680597230151022,20.036810361387833,16.467282729511055,18.64267835184749,17.90119216925382,0.06945887720677217,0.30412883460433227,0.4907389549960347,0.10592000552761975,0.02975332766524113,0.8702976838579014,26,Tier 5: first-round value,Jakob Poeltl; Justin Harper; Mason Plumlee; Jeff Pendergraph; Tyler Zeller,17.5,9.8,22.16,rotation; bust; rotation; bench; rotation
19.0,Jayden Quaintance,PF/C,Kentucky,"6'10.25""",81.0,253.4,Sophomore,18.9,5.0,5.0,0.5,0.8,0.5,10.7,10.7,1.1,1.6,1.1,0.496,19.2,0.0,1.8,1.9,Tankathon,jayden quaintance,Jayden Quaintance,6,19.166666666666668,18.0,5.145116346811044,12,28,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,19.0,17.0,,23.0,28.0,16.0,,,12.0,,,,,,Jayden Quaintance,"6'10.25""",82.25,253.0,NBA Draft Room mock;On3 combine measurements;Tankathon,7-5 1/4,89.25,6’9″,81.0,9’1″,109.0,Jayden Quaintance,Jayden Quaintance,81.0,253.4,89.25,109.0,,,,,,19.166666666666668,18.9,11.88888888888889,11.88888888888889,1.2222222222222223,1.2222222222222223,1.777777777777778,,19.2,big,,,,12.856174288568399,14.859382869034544,17.470756107512326,18.62793574564008,14.157104387458,17.436324752840044,0.03938984675931102,0.4712497088732966,0.23977991470984258,0.21563425568260158,0.03394627397494816,0.8298566275013682,27,Tier 5: first-round value,Stephen Zimmerman; Ike Anigbogu; Harry Giles; Andre Drummond; Jarrett Allen,12.4,5.7,27.68,bust; bust; bench; starter; starter
27.0,Joshua Jefferson,PF/SF,Iowa State,"6'9""",79.75,246.2,Senior,22.6,16.4,7.4,4.8,0.8,1.6,19.1,8.6,5.6,1.0,1.9,0.56,27.6,7.0,6.1,13.0,Tankathon,joshua jefferson,Joshua Jefferson,7,29.142857142857142,30.0,4.15515416349971,20,33,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,27.0,32.0,30.0,33.0,32.0,30.0,,,20.0,30.8,16.4,7.4,4.8,47.1,Joshua Jefferson,"6'9""",81.0,246.0,Tankathon,,82.75,,,,104.5,Joshua Jefferson,Joshua Jefferson,79.75,246.2,82.75,104.5,27.0,33.0,11.91,3.08,3.42,29.142857142857142,22.6,21.222222222222225,9.555555555555555,6.222222222222222,2.111111111111111,1.1111111111111112,,27.6,wing,,,,17.591066411976943,19.79217915174151,21.2943962760294,21.056350971921866,18.98198473035195,21.494880572694008,0.05941343582840257,0.2944381356289127,0.3724476302697866,0.2490510968683795,0.02464970140451866,0.8070584434901886,28,Tier 5: first-round value,Draymond Green; Lamar Patterson; Desmond Bane; Josh Hart; Kris Dunn,28.3,23.4,28.82,starter; bench; starter; starter; rotation
26.0,Isaiah Evans,SF,Duke,"6'6.75""",77.5,186.0,Sophomore,20.5,15.0,3.2,1.3,0.7,0.7,19.2,4.1,1.6,0.8,0.9,0.59,24.9,6.5,3.3,9.8,Tankathon,isaiah evans,Isaiah Evans,6,27.166666666666668,26.0,2.852873794770615,24,33,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,26.0,26.0,,28.0,33.0,26.0,,,24.0,,,,,,Isaiah Evans,"6'6.75""",78.75,186.0,Tankathon,,80.75,,,,104.5,Isaiah Evans,Isaiah Evans,77.5,186.0,80.75,104.5,27.0,35.5,11.87,2.89,3.18,27.166666666666668,20.5,21.333333333333332,4.555555555555555,1.777777777777778,1.0,0.888888888888889,,24.9,wing,,,,16.472189063949756,18.077783655814144,19.10129262780477,18.020126740079068,18.367017545132143,18.51865487604788,0.06893160444337727,0.2841060782086799,0.4176499179849146,0.20933622759651405,0.01997617176651416,0.7991845320363244,29,Tier 5: first-round value,Ben McLemore; Jeremy Lamb; Immanuel Quickley; Allen Crabbe; Morris Almond,22.5,20.8,24.3,rotation; rotation; starter; starter; bench
30.0,Tarris Reed Jr.,C,UConn,"6'11""",81.75,263.6,Senior,22.9,14.7,9.0,2.3,2.0,0.9,19.4,11.8,3.0,2.6,1.2,0.614,26.1,6.7,6.1,12.9,Tankathon,tarris reed,Tarris Reed Jr.,8,28.125,30.0,3.919103851647721,20,32,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,30.0,31.0,27.0,32.0,20.0,31.0,24.0,,30.0,27.3,14.7,9.0,2.3,60.7,Tarris Reed Jr.,"6'11""",83.0,264.0,NBA Draft Room mock;Tankathon,7-4 1/4,88.25,,,,110.0,Tarris Reed Jr.,Tarris Reed Jr.,81.75,263.6,88.25,110.0,29.5,33.0,11.03,2.77,3.3,28.125,22.9,21.555555555555554,13.111111111111112,3.3333333333333335,1.3333333333333333,2.8888888888888893,,26.1,big,,,,14.541258779464593,16.276202644716122,18.704709905029727,15.967180230122285,15.085548995183022,16.99624818111159,0.10439943151169395,0.26365197031208915,0.49968120324433357,0.11577357038303414,0.016493824548849047,0.686914121625331,30,Tier 5: first-round value,Tyler Zeller; Rakeem Christmas; Andrew Nicholson; Jerome Jordan; Neemias Queta,9.7,7.5,16.22,rotation; bust; bench; bust; bench
33.0,Zuby Ejiofor,PF,St. John's,"6'8.75""",79.5,245.2,Senior,22.2,16.3,7.3,3.5,2.1,1.2,19.6,8.8,4.3,2.6,1.4,0.609,24.8,8.5,6.0,14.5,Tankathon,zuby ejiofor,Zuby Ejiofor,7,30.714285714285715,30.0,1.577908716741037,29,33,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,33.0,30.0,29.0,31.0,29.0,33.0,30.0,,,29.9,16.3,7.3,3.5,53.6,Zuby Ejiofor,"6'8.75""",80.75,245.0,NBA Draft Room mock;Tankathon,7-2,86.0,,,,107.0,Zuby Ejiofor,Zuby Ejiofor,79.5,245.2,86.0,107.0,34.0,38.0,11.05,2.76,3.2,30.714285714285715,22.2,21.77777777777778,9.777777777777779,4.777777777777778,1.5555555555555556,2.8888888888888893,,24.8,forward_big,,,,14.448798671234883,16.93167045538991,19.108229012510666,15.529718365437072,16.64087173136914,18.556321001186355,0.08886408239377595,0.2828581140977303,0.41303715784896555,0.18789431814707677,0.02734632751245134,0.6806080844036047,31,Honorable mention,Grant Williams; Draymond Green; Frank Kaminsky; Xavier Tillman; Neemias Queta,19.8,17.6,25.94,rotation; starter; rotation; rotation; bench
34.0,Luigi Suigo,C,KK Mega Basket,"7'4""",86.75,289.0,International,19.4,8.5,5.3,0.9,1.0,0.5,16.9,10.6,1.7,2.0,0.9,0.607,19.0,,,,Tankathon,luigi suigo,Luigi Suigo,6,30.33333333333333,31.5,4.268749491621899,24,35,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,34.0,35.0,,26.0,24.0,34.0,,,29.0,,,,,,Luigi Suigo,"7'4""",88.0,289.0,NBA Draft Room mock;Tankathon,7-5 1/2 –,89.5,,,,114.0,Luigi Suigo,Luigi Suigo,86.75,289.0,89.5,114.0,,,,,,30.33333333333333,19.4,18.77777777777778,11.777777777777779,1.8888888888888888,1.0,2.2222222222222223,,19.0,big,,,,14.31699396243039,17.10211654307965,20.873162098340508,15.426086414325072,16.259429514667854,15.4849355044524,0.15969200528400723,0.39575480196695273,0.2093477157798468,0.17317223214117566,0.062033244828017656,0.6636219081312361,32,Honorable mention,Tiny Gallon; Dakari Johnson; Tony Bradley; Meyers Leonard; Thomas Bryant,11.1,5.2,17.64,bust; bust; bench; rotation; rotation
32.0,Alex Karaban,SF/PF,UConn,"6'8""",78.75,225.2,Senior,23.6,13.2,5.3,2.4,0.8,0.8,13.8,5.5,2.5,0.9,0.9,0.59,18.4,5.4,3.6,9.0,Tankathon,alex karaban,Alex Karaban,6,31.5,31.5,2.0615528128088303,29,34,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,32.0,29.0,31.0,34.0,34.0,29.0,,,,34.4,13.2,5.3,2.4,46.4,Alex Karaban,"6'8""",80.0,225.0,Tankathon,,83.0,,,,104.5,Alex Karaban,Alex Karaban,78.75,225.2,83.0,104.5,28.0,33.0,11.19,3.01,3.28,31.5,23.6,15.333333333333334,6.111111111111112,2.7777777777777777,1.0,1.0,,18.4,wing,,,,15.115362049782847,16.548809067364665,18.49962134016174,15.143654622886343,17.6187011632648,19.017036382608353,0.0945127148042177,0.3192755201876702,0.40868754399276475,0.1457363385622082,0.031787882453139175,0.639410669849134,33,Honorable mention,Isaiah Livers; Devon Hall; Terance Mann; Darius Miller; Solomon Hill,21.5,19.8,21.86,rotation; bust; rotation; rotation; rotation
