source,name,norm_name,size_text,age,pro_comp,scouting_text,measurement_text
Yahoo/KOC big board,Brayden Burries,brayden burries,,,,"Burries arrived at Arizona as a top-10 recruit, started slow, and then erupted once conference play began, helping lead his team to the Final Four. He's a physical, versatile scorer who can beat you from all three levels, rebounds like a forward, and competes hard on defense. But he's a methodical creator rather than an explosive one, and his shooting history before Arizona gives scouts reason to wonder whether the efficiency is real or a blip.",
Yahoo/KOC big board,Aday Mara,aday mara,,,,"Mara stepped on UCLA’s campus as a lottery-projected center from Spain. Then he fell off draft boards during two forgettable seasons there before transferring to Michigan and becoming one of the best true 5s in the country on his way to winning the national championship. He reads the floor like a guard, finishes with both hands, and swats shots with elite timing. The complication is he doesn't shoot from outside, makes below 60% of his free throws, and opponents are going to attack him on the perimeter.",
Yahoo/KOC big board,Nate Ament,nate ament,,,,"Players who can handle, shoot off the dribble, and stand at 6-foot-10 don’t grow on trees. This physical foundation kept Ament in lottery consideration even after a dreadful start to his freshman season when he struggled to score efficiently and make an impact defensively. But over the second half of the year for Tennessee, he flipped a switch and shots began to fall. He averaged 23.8 points over a six-game stretch in January and February that reminded everyone why he was a top recruit in the country. Then he dealt with an ankle injury that ruined his momentum entering March and he severely struggled during the tournament.",
NBA Draft Room big board,AJ Dybantsa,aj dybantsa,,,,– AJ stays at no.1 both for his upside and his seemingly high floor. He’s almost guaranteed to score the ball in bunches at the NBA level and has the type of competitive fire you want from your franchise cornerstone. There are areas of his game that need improvement but he already brings so much to the table that I feel comfortable having him at the top of this loaded draft class.,– 6-9 – BYU
NBA Draft Room big board,Darryn Peterson,darryn peterson,,,,– The enigma that is Darryn Peterson comes with loads of scoring talent and a nice all around game checkered with a few orange flags. If he hits he’ll be the best player from this class but his one year at Kansas raised enough questions in my mind that he falls to no.2 on my big board.,– 6-5 – Kansas
NBA Draft Room big board,Caleb Wilson,caleb wilson,,,,"– I have to trust my eyes when it comes to evaluating Caleb Wilson. I get that its unusual to have him over Boozer but I’m so enamored with Wilson’s athletic traits, production and upside that I can’t have him lower than this. I first moved Wilson to the no.3 spot back",– 6-10 – North Carolina
NBA Draft Room big board,Cameron Boozer,cameron boozer,,,,"If Boozer falls to no.4 a team will be getting awesome value and a future cornerstone of their franchise. While I don’t see the same level of upside that some see with him, I still think Boozer will be a bona fide All Star and be really good for a really long time. The top of this draft is loaded and all of the top 4 guys are likely to be stars.",– 6-9 – Duke –
NBA Draft Room big board,Kingston Flemings,kingston flemings,,,,– With this ranking it’s more about projection than a finished product. Flemings has unique athletic traits and the type of explosive first step and above the rim ability that great NBA guards have. He shot the ball better than expected this season for Houston but still has room for growth with his shooting form and consistency. If he can really be a knock-down shooter he’s going to be special.,– 6-4 – Houston
NBA Draft Room big board,Darius Acuff Jr.,darius acuff,,,,"– Acuff Jr. has a level of polish to his game that you don’t often see from young guards coming into the league. He’s not the biggest guy and not an above the rim athlete but he’s got a special ability to put the ball in the basket and make big shots in big moments. It’s going to be really fun to see where he lands, to see if he gets the keys to a NBA offense and to watch how his game translates to the NBA.",– 6-2 – Arkansas
NBA Draft Room big board,Mikel Brown Jr.,mikel brown,,,,– I’m tempted to have Brown in Tier 2. I think he can be a nuclear scorer at the next level and could end up as one of the better 3pt shooters in the league before too long. Add in his explosive athleticism and good feel for finding teammates and he’s close to being an elite prospect.,– 6-5 – Louisville
NBA Draft Room big board,Keaton Wagler,keaton wagler,,,,. – Wagler’s meteoric rise up draft boards culminates with him being a top 10 player on many lists and a sure-fire lottery pick. I love his feel and his uncanny ability to get to his spots. NBA size and athleticism will be an adjustment for him (as it is for everyone) but I think he can continue to be effective with his herky-jerky style of play.,– 6-6 – Illinois
NBA Draft Room big board,Brayden Burries,brayden burries,,,,Burries is a lethal scoring guard who just seems like a cold-blooded assassin when it comes to putting the ball in the basket. He’s a guy who can play on or off the ball and should be seamless fit with any NBA team.,– 6-4 – Arizona –
NBA Draft Room big board,Hannes Steinbach,hannes steinbach,,,,"– Hannes has skills that should translate immediately with his rebounding, play-finishing and ability to get up and down the floor in a hurry. He might not be the most exciting player in this range of the draft but I think he’ll return good value.",– 6-11 – Washington (Germany)
NBA Draft Room big board,Aday Mara,aday mara,,,,"– Mara has some boom/bust potential but at this range of the board I think it makes sens to take the swing on him. If he can be a defensive anchor and be a partial offensive hub he’ll be a hugely valuable player in the NBA. There’s a chance the speed of the game and the hunting of mismatches could be tough for him to handle but again, it’s worth a shot in the late lottery range.",– 7-3 – Michigan
NBA Draft Room big board,Labaron Philon,labaron philon,,,,"– Philon is the type of productive player that can be overlooked because he’s not the biggest guy, isn’t a great above the rim player and isn’t a super young freshman. This could lead to a NBA team getting a steal outside of the top 10. He’s made massive improvements over the past two season and there’s every reason to believe he’ll continue on that trajectory.",– 6-3 – Alabama
NBA Draft Room big board,Karim Lopez,karim lopez,,,,– Playing in the NBL has lead to Lopez being a bit overlooked but I think he’s got some sneaky star potential and could be ranked much higher when we look back on this draft in a few years. He’s got awesome strength for a young forward and does a great job of handling contact and imposing his will on the game. He’s still a teenager and it’s scary to imagine how strong and physical he’ll be in a few years. I’m intrigued.,"– 6-8 – NZ Breakers, NBL (Mexico)"
NBA Draft Room big board,Morez Johnson Jr.,morez johnson,,,,"– Every NBA team can use a player like Morez. He’s a powerful, high-energy enforcer who has a big impact in the paint, changes ends well and can anchor a defense, despite not being the biggest center out there. He impacts the game in many ways without needing the ball in his hands and is just a rock solid guy who contributes to winning.",– 6-10 – Michigan
NBA Draft Room big board,Yaxel Lendeborg,yaxel lendeborg,,,,– The history of players his age becoming stars is grim. Yaxel is ancient by draft standards and so theoretically his upside is limited but the hope is that he still has more aress of his game to develop and that he’s just a late bloomer. He does promise to be very NBA ready and should step right in and play meaningful minutes for whichever team drafts him.,– 6-9 – Michigan
NBA Draft Room big board,Chris Cenac Jr.,chris cenac,,,,– Cenac Jr. is loaded with upside and really came on strong over the course of the season. He’s got the size and athleticism to hold his own in the league and his ability to space the floor gives him starter upside. He might not be the biggest contributor in year one but his upside is worth the swing in the late lottery or mid first round.,– 6-10 – Houston
NBA Draft Room big board,Cameron Carr,cameron carr,,,,"– A long and wiry athletic wing who can really shoot the 3-ball and play above the rim, yes please. Carr is an off ball player who might not be a star at the next level but should be a valuable piece who plays a complimentary role.",– 6-6 – Baylor
NBA Draft Room big board,Nate Ament,nate ament,,,,Ament is a special talent with unique abilities for a player his size but also comes with some major question marks around his lack of separation ability and his overall lack of burst. I think he’s a fine value at this point of the draft but I’d still have some hesitation with taking him over more NBA-ready/proven players.,– 6-10 – Tennessee –
NBA Draft Room big board,Allen Graves,allen graves,,,,– A do-it-all forward who came out of nowhere to be a potential first rounder. I’d love to see him in the transfer portal instead of the draft but after such a good season for the Broncos he could be NBA-bound.,– 6-9 – Santa Clara
NBA Draft Room big board,Dailyn Swain,dailyn swain,,,,– Swain has been a steady riser all season long and is now in the late lottery range on my big board. He’s a NBA level athlete with all the size and talent to be a high level NBA player. I like how his outside shot has developed over the years and how he’s improved his dribble-drive game. He appears to have plenty of more room for improvement and is just starting to put it all together on the court.,– 6-8 – Texas
NBA Draft Room big board,Tarris Reed Jr.,tarris reed,,,,"– A March Madness hero, Reed Jr. has done as much as any player in the country to lift his draft stock and will now be getting first round looks. He’s a great rebounder on both ends, a skill that should translate well for him at the NBA level. He doesn’t need to be a high volume offensive player to be effective and looks the part of a starting big, or first big off the bench, which is solid value in the 20’s or 30’s.",– C – UConn
NBA Draft Room big board,Ebuka Okorie,ebuka okorie,,,,"– Okorie has been an absolute stud this year, coming in as an under-recruited guy and scorching opponents to the tune of 21 points per game while looking to be in total control of the offense.",– 6-2 – Stanford
NBA Draft Room big board,Henri Veesaar,henri veesaar,,,,– Veesaar is unlikely to be a star in the NBA but at this point of the draft board finding a really solid starting level center who can stretch the floor would be a really good value. He’s a high feel player who makes really good reads and is a good big-to-big passer. I’m higher on him than most and think he’ll be really good in the NBA.,– 7-0 – North Carolina (Estonia)
NBA Draft Room big board,Bennett Stirtz,bennett stirtz,,,,– I was a little too high on Stirtz to start the season but I still like him as a mid/late first rounder. He could be a nice third guard who has some versatility playing on or off the ball. Even if he’s not a starter I think he can be a valuable piece to a winning team.,– 6-4 – Iowa
NBA Draft Room big board,Luigi Suigo,luigi suigo,,,,"– Suigo is still open to going the college route and has some heavy interest from some blue bloods but if he stays in the draft he could be a riser on draft boards thanks to his unique size and skill. It’s not every day you find a 7-4 guy that can move, space the floor and has a solid feel for the game. He’s young and will need time to develop but you just can’t teach the tools that he’s got.",– 7-4 – Italy
NBA Draft Room big board,Koa Peat,koa peat,,,,"– Peat had a tough NBA combine, looking like an average athlete with good strength but not great size, who can’t shoot. That’s not a great combo for a NBA player. But Peat has proven to be a winner at every level so far and I think he can be a solid rotation player in the league. That’s worth a first round pick.",– 6-8 – Arizona
NBA Draft Room big board,Meleek Thomas,meleek thomas,,,,– A microwave shooter/scorer who can get hot but lacks consistency. Will need to round out his game and do more than just score the rock. Could use some more time in school and would likely spend a lot of time in the G League if he enters the draft this year.,– 6-5 – Arkansas
NBA Draft Room big board,Christian Anderson,christian anderson,,,,"– I think there’s a real chance Anderson out-plays this ranking. He’s not the biggest guard out there but is so skilled, is a great decision-maker no the court and has a rare combination of play-making and scoring ability. He’s also going to get a really big NIL offer so there’s a chance he returns to school if he’s projected in this range.",– 6-2 – Texas Tech
NBA Draft Room big board,Jayden Quaintance,jayden quaintance,,,,– It’s been a really tough year for JQ after ACL surgery last March and some ongoing issues with his recovery. It might make sense for him to return for another year in school to really show how good he can be. But there’s risk with that path as well. He’s a unique defensive talent but the injury history and the lack of an offensive game hurts his draft stock. He’s still incredibly young and has plenty of time to develop into a good NBA player if his body holds up.,– 6-10 – Kentucky
NBA Draft Room big board,Zuby Ejiofor,zuby ejiofor,,,,"– A high energy big man who has taken the next step with his scoring and his overall skill level. Lacks ideal size but is quick, powerful and plays with an edge. I could see him being a playable guy off a NBA bench who brings energy and a change of pace up front.",– 6-9 – St. John’s
NBA Draft Room big board,Pavle Bačko,pavle backo,,,,"– One of the youngest prospects in the draft, the big-bodied center is a highly skilled player who gives some Nikola Jokic vibes. He’s emerged as a star in his age group over the past 12 months and could be a big riser during the draft process. It only takes one team to fall in love with him for him to be a first rounder.",– 6-11 – Serbia
NBA Draft Room big board,Jaden Bradley,jaden bradley,,,,– Bradley has gotten better and better every season and now looks like a solid back-up point guard option. He’s learned to harness his athletic talents and become more of a passer and play-maker. I’m a big fan.,– 6-2 – Arizona
NBA Draft Room big board,Joshua Jefferson,joshua jefferson,,,,"Jefferson is old, a bit slow and doesn’t really excite you with his style of play but man, he is just damn good at the game of basketball. At some point in the draft it’s less about upside and more about finding NBA players who can contribute to winning games.",– 6-9 – Iowa State –
NBA Draft Room big board,Isaiah Evans,isaiah evans,,,,– Evans might be more of a bench scorer than a starter and so his draft stock is probably not as high as some think. He’s made really good improvements in his all-around game since last season and if he continues that trend he’ll have a long NBA career. He still needs to add strength but he’s been trending in the right direction.,– 6-7 – Duke
NBA Draft Room big board,Alex Karaban,alex karaban,,,,– Karaban will go down as one of the greats in the UConn programs history. His NBA role is a little murky but big shot-makers have value and he’ll get a long look from NBA teams. He might not be a high upside guy but he does some things at a high level and has a chance to be a solid role player at the next level.,– 6-8 – UConn
NBA Draft Room big board,Trevon Brazile,trevon brazile,,,,– He’s got great tools and some of the flashes he shows are breathtaking. I think he still needs some developmental time before being a NBA guy but I’d swing on the upside at this point in the draft.,– 6-10 – Arkansas
NBA Draft Room big board,Ryan Conwell,ryan conwell,,,,A rock solid 6-3 guard who loves to let it fly from downtown. Is better in an off-ball role but can give you some minutes at point. An older player but one who could contribute early.,– 6-3 – Louisville –
NBA Draft Room big board,Jack Kayil,jack kayil,,,,– Kayil is a talented combo guard who will need to shoot the ball better but has nice size and athleticism.,– 6-5 – Germany
NBA Draft Room big board,Keyshawn Hall,keyshawn hall,,,,"I’m a big Keyshawn Hall fan. He’s got a pro-ready frame and a really nice 3pt shot. I’d take him early to mid second round, and can also see him continuing to rise up the board.",– 6-7 – Auburn –
NBA Draft Room big board,Baba Miller,baba miller,,,,"– It’s been a long road for Baba to get here but he’s been playing really good ball this year and still has that impressive combination of size and mobility. He’s shown a willingness to harness his athletic prowess and live more in the post, make plays in transition and play more like a big forward instead of a guard.",– 6-11 – Cincinnati
NBA Draft Room big board,Ja’kobi Gillespie,jakobi gillespie,,,,An undersized scoring guard who is really tough to stop. Looks like a guy who could be valuable bench guard.,– 6-1 – Tennessee –
NBA Draft Room big board,Dillon Mitchell –,dillon mitchell,,,,– NBA teams love to bet on tools and Mitchell has elite tools. He’ll be a developmental player but has some long-term potential.,6-8 – St. John’s
NBA Draft Room big board,Tyler Bilodeau,tyler bilodeau,,,,– Tyler isn’t a great athlete and might not have great upside but he’s just a damn good basketball player who can really shoot the rock. He’s got a toughness to his game that allows him to hold his own in the paint against bigger players. But it’s his shooting ability that will get him on a NBA court.,– 6-9 – UCLA
NBA Draft Room big board,Quadir Copeland,quadir copeland,,,,"– Copeland plays a controlled and intentional game, gets to his spots and knows how to orchestrate an offense. I think he can make a NBA roster.",– 6-6 – NC State
NBA Draft Room big board,Otega Oweh,otega oweh,,,,– Oweh isn’t super flashy but has two-way ability and NBA tools.,– 6-5 – Kentucky
NBA Draft Room big board,Fletcher Loyer,fletcher loyer,,,,– He’s about as NBA-ready as they come. He’s probably not a starter in the league but I could see him having a solid NBA career and finding some success at the NBA level. He seems like the type of player a NBA team would love to add as a cheap roster option.,– 6-5 – Purdue
NBA Draft Room big board,Aaron Nkrumah,aaron nkrumah,,,,– A wiry long-armed athlete who has been one of the stars of the pre-draft process.,– 6-5 – Tennessee State
NBA Draft Room big board,Trey Kaufman-Renn,trey kaufman renn,,,,"– A steady, boring player who just gets it done. He’s not going to get a fan base hyped but could end up being a valuable do-it-all forward off a NBA bench.",– 6-9 – Purdue
NBA Draft Room big board,Richie Saunders,richie saunders,,,,"– A flamethrower from outside, Saunders is a natural scorer who moves well without the ball and lets it fly with a ton of confidence. He’s a much older prospect and should be ready to play some minutes early in his career…once he recovers from his recent ACL tear.",– 6-5 – BYU
NBA Draft Room big board,Braden Smith,braden smith,,,,"– Super undersized by incredibly dynamic, Smith could be a fun guard to have coming off the bench to change the tempo.",– 6-0 – Purdue
NBA Draft Room big board,Nick Martinelli,nick martinelli,,,,– A high scoring wing who is tough and plays with physicality. Will have to shoot the ball better from 3 to make it but I like the improvements he’s made and think he can get there.,– 6-7 – Northwestern
NBA Draft Room big board,Lamar Wilkerson,lamar wilkerson,,,,– A lights out shooter with good size and ball handling ability? Sign me up.,– 6-6 – Indiana
NBA Draft Room big board,Melvin Council Jr. –,melvin council,,,,– A high volume shooter who needs to do a better job of setting up teammates and shooting with better efficiency. His ability to get to the rim and score in iso is intriguing.,6-4 – Kansas
NBA Draft Room big board,Sergio de Larrea,sergio de larrea,,,,"– A slick passing big guard who doesn’t blow you away with athleticism but is crafty, shifty and can get to his spots. A bit older than other international prospects but has a lot of game.",– 6-6 – Spain
NBA Draft Room big board,Tobi Lawal,tobi lawal,,,,– In the late second round range I think Lawal is an athlete worth taking a flyer on. He’s a developmental guy but has rare physical abilities that you just can’t teach.,– 6-8 – Virginia Tech
NBA Draft Room big board,Izaiyah Nelson,izaiyah nelson,,,,"– A big riser late in the season and during the draft process, Nelson is a really good athlete who does the big man things well and plays a solid all around game. He’s not a big name but is a nice talent who is looking like a second round pick.",– 6-10 – South Florida
NBA Draft Room big board,Emanuel Sharpe,emanuel sharpe,,,,– It’s easy to imagine Sharpe as a bench guard who brings his mature game and NBA-readiness to a NBA team. And it’s easy to imagine him lighting up the G League for a few years first.,– 6-3 – Houston
NBA Draft Room big board,Felix Okpara,felix okpara,,,,– A solid athlete for a near 7-footer who can hold his own in the middle and make all the big man plays. Isn’t the most powerful guy but should continue to add strength and weight.,– 6-11 – Tennessee
NBA Draft Room big board,Bruce Thornton,bruce thornton,,,,"– He’s a baller, a gamer and a winner who looks the part of a solid back up point guard at the NBA level.",– 6-2 – Ohio State
NBA Draft Room big board,Bryce Hopkins,bryce hopkins,,,,– A versatile forward who is a jack-of-trades type but a master of none.,– 6-7 – St. John’s
NBA Draft Room big board,Seth Trimble,seth trimble,,,,"– If he could shoot the ball he’d be a guaranteed NBA player but even without a jumper his athleticism could land him on a NBA roster, in time.",– 6-3 – North Carolina
NBA Draft Room big board,Tyler Nickel,tyler nickel,,,,– Nickel is a shooter with size and could find some spot minutes at the NBA level thanks to his ability to knockdown shots from deep.,– 6-7 – Vanderbilt
NBA Draft Room big board,Ugonna Onyenso,ugonna onyenso,,,,– A defensive-minded player who has good movement skills for his size. A developmental guy.,– 7-0 – Virginia
NBA Draft Room big board,Milos Uzan,milos uzan,,,,– A nice all around player who could find a role off a NBA bench.,– 6-5 – Houston
NBA Draft Room big board,Jaxon Kohler,jaxon kohler,,,,– You don’t hear much about Kohler in draft circles but the dude is really talented and scores the ball at a NBA level. He’s not a great athlete but his shooting ability will give him a fighting chance.,– 6-9 – Michigan State
NBA Draft Room big board,Malik Reneau –,malik reneau,,,,– A physical four-man who lacks ideal size but just gets it done. Isn’t flashy but is very productive.,6-7 – Miami
NBA Draft Room big board,Nick Boyd –,nick boyd,,,,– Not the biggest or quickest guy out there but Boyd can really put the ball in the basket. And that skill could take him a long way.,6-3 – Wisconsin
NBA Draft Room big board,Malique Lewis,malique lewis,,,,– An athletic wing with good size and a developing skill-set.,"– 6-8 – Melbourne, NBL"
NBA Draft Room big board,Tobe Awaka –,tobe awaka,,,,– He doesn’t have the NBA skill-set that most 6-7 players have but he’s a tough-nosed rebounder who throws his weight around in the paint.,6-7 – Arizona
NBA Draft Room big board,Kylan Boswell,kylan boswell,,,,– A steady veteran PG who isn’t flashy but knows how to run a team.,– 6-2 – Illinois
NBA Draft Room big board,Maliq Brown,maliq brown,,,,– An elite defender who could bring value as a situational player but really struggles on the offensive end.,– PF – Duke
NBA Draft Room mock,AJ Dybantsa,aj dybantsa,,,T Mac,– The Wizards win the lottery sweepstakes and will have a tough choice between a number of elite level prospects. Dybantsa would give them a big wing who can score the ball in bunches and impose his will on the game. He’s an alpha dog who can set the tone for the team for the next decade.,
NBA Draft Room mock,Darryn Peterson,darryn peterson,,,"Kobe lite, Ray Allen","– If the cramping issues are really behind him Peterson could/should be a superstar for the Jazz. He’s a rare talent with elite shooting touch and ability to get buckets whenever he wants. The Jazz have a strong young core in place and are a franchise that is heading in the right direction. There are some small orange flags with Peterson, which could cause him to slide a spot or two on draft day but the talent is certainly there.",
NBA Draft Room mock,Caleb Wilson,caleb wilson,,,"Kevin Garnett, Shareef Abdur-Rahim","– Wilson is a special talent with as much upside as anyone in this draft class. The Grizzlies moved on from JJJ and will now have a chance to replace him with an even more dynamic big forward, to pair with Edey up front.",
NBA Draft Room mock,Cam Boozer,cameron boozer,,,"Michael Beasley, Al Horford, Kevin Love","– The Bulls were big winners of the lottery moving into the top four and getting a shot at Boozer, or whoever falls out of the top 3. Boozer would be a change of pace for the team as a half court player who isn’t the most fleet of foot but he’s far too talented to pass on, if he falls this far.",
NBA Draft Room mock,Darius Acuff Jr.,darius acuff,,,"Stephon Marbury, Coby White, Damian Lillard",Acuff would be an awesome addition in L.A. and give them a new younger face of the franchise. Or this could a spot where a team like the Kings trade up to get the high scoring point guard.,
NBA Draft Room mock,Mikel Brown Jr.,mikel brown,,,faster D’Angelo Russell,Brown Jr. is a nuclear scorer who can light it up as well as anyone in this draft. He seems to be over the back issues that hindered him this season and his draft stock is pointing up. The Nets have plenty of guards but none that have the elite scoring upside like Brown Jr.,
NBA Draft Room mock,Kingston Flemings,kingston flemings,,,prospect Markelle Fultz,– Kingston Flemings would be an awesome addition to the Kings. He’s more talented than anyone on their roster and is the type of dynamic athlete at the lead guard position that can change the course of a franchise. He didn’t measure as well as hoped for so that could knock him down a spot or two…but he shouldn’t fall too far!,
NBA Draft Room mock,Aday Mara,aday mara,,,Zydrunas Ilgauskas,"– Mara has been a steady riser all season and has been one of the stars of this week’s draft combine. He would be a nice addition upfront with his ability to anchor a defense and make plays on the offensive end. He’ll be one of the most fascinating players to watch as he adjusts to the NBA game, with his massive size and unique skill-set.",
NBA Draft Room mock,Keaton Wagler,keaton wagler,,,"taller Ryan Rollins, a hint of SGA, Haliburton","– Wagler would give the Mavs a versatile and highly talented big guard who has All Star upside. He’s been one of the most fascinating prospects to watch this season, rising from obscurity to a likely top 10 spot. He’d give the Mavs a stud young guard to grow next to Cooper and co.",
NBA Draft Room mock,Nate Ament,nate ament,,,"Risacher, Austin Croshere, Keith Van Horn","– Ament is a highly skilled offensive player with a nice outside shot but he has some limitations athletically and doesn’t really pressure the rim. He could be more of a role player at the next level, rather than a star.",
NBA Draft Room mock,Labaron Philon,labaron philon,,,Tyrese Maxey lite,– The Warriors are hoping they still have a small championship window open and will look to add a NBA-ready player who can provide meaningful minutes right away. Philon would be top 10 in many draft classes but in this strong class he falls to the Warriors at 11.,
NBA Draft Room mock,Brayden Burries,brayden burries,,,Jared McCain,"– The Thunder might look for a Wemby stopper but have enough assets to swing on another guard here. Burries is the type of all-around guard who can fit with any line-up. He would bring a great balance of scoring punch, two-way ability and the ability to play on or off the ball.",
NBA Draft Room mock,Karim Lopez,karim lopez,,,Tristan da Silva,"– One of the more underrated and unheralded players in the drat, Lopez has a chance to be really good as a do-it-all forward who contributes across the board.",
NBA Draft Room mock,Hannes Steinbach,hannes steinbach,,,"David Lee, Isaiah Hartenstein+",–  I’m a massive Steinbach fan and think he’ll be really productive in the NBA. He’d be an awesomely unfair addition to the emerging Thunder dynasty.,
NBA Draft Room mock,Yaxel Lendeborg,yaxel lendeborg,,,"Kyle Kuzma, Obi Toppin+","– The Heat have a few solid pieces in place but are sort of stuck in no-man’s land. I’d love to see them swing for the fences with one of the younger, higher upside players in this draft but Yaxel seems like more of a Heat pick and would be solid value at this point in the draft.",
NBA Draft Room mock,Christian Anderson,christian anderson,,,,So,
NBA Draft Room mock,Cameron Carr,cameron carr,,,Jaylon Tyson,"– A long, lanky guard with a picture-perfect jumper and great above the rim ability. Needs to add strength and develop his frame but finally had his breakout season this year and is a first round lock. One of the best pure shooters in the draft class.",
NBA Draft Room mock,Chris Cenac Jr.,chris cenac,,,,– A long and agile post player with a nice skill level and really good open court athleticism. Can face-up and take his man off the bounce or drain jumpers. Has great timing as a shot-blocker and can defend in space as well. Shows developing ball-handling and offensive play-making.,
NBA Draft Room mock,Morez Johnson,morez johnson,,,beef stew,– A burly rebounding big man with good footwork in the paint. Gives good effort and his very productive on the boards and highly efficient with his scoring. Is starting to stretch the floor and show some upside on the offensive end. Probably won’t be a star in the NBA but seems to have a very clear path to success.,
NBA Draft Room mock,Jayden Quaintance,jayden quaintance,,,"Tristan Thompson, Jalen Duren","– JQ is an elite defensive talent with great strength, length, versatility and awesome defensive instincts. He’s a very pedestrian offensive player, limited to scoring around the rim, which limits his upside. He’s also been very slow to come back from his ACL injury and is now being held out of basketball activities. His injury history will certainly hinder his draft stock.",
NBA Draft Room mock,Ebuka Okorie,ebuka okorie,,,,Fr,
NBA Draft Room mock,Henry Veesaar,henry veesaar,,,,Jr,
NBA Draft Room mock,Luigi Suigo,luigi suigo,,,,Int.07,
NBA Draft Room mock,Dailyn Swain,dailyn swain,,,"Herb Jones, Jeremy Grant",– A high level athlete with NBA level tools. Competes hard on both ends and has a lot of versatility. Struggles to shoot the ball from deep and has a lot of work to do with his offensive skill-set.,
NBA Draft Room mock,Koa Peat,koa peat,,,Jarace Walker+,– Peat is a rock solid player who has a NBA frame and does a lot of things well. He’s probably more of a role player than a first option/star player but I think he can be a very high-end role player. He doesn’t stretch the floor and has limitations on the offensive end but the 3pt shot will improve with time.,
NBA Draft Room mock,Bennett Stirtz,bennett stirtz,,,,Sr,
NBA Draft Room mock,Zuby Ejiofor,zuby ejiofor,,,NA,"– A tough, physical big man who lives in the paint and has developed a nice mid range jumper. A high energy player who’s arrow is pointing up.",
NBA Draft Room mock,Tarris Reed Jr.,tarris reed,,,Charles Oakley,"– A burly big man who has really good footwork and is a difference maker in the paint. Measured out really well at the combine, helping his first round resume.",
